stock_name,symbol,tv_symbol
AARTI INDUSTRIES LIMITED,AARTIIND,AARTIIND
ABB INDIA LIMITED,ABB,ABB
ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA
ACC LIMITED,ACC,ACC
ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS,ADANIPORTS
ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,ABCAPITAL
ADITYA BIRLA FASHION AND RETAIL LIMITED,ABFRL,ABFRL
ALKEM LABORATORIES LIMITED,ALKEM,ALKEM
AMBUJA CEMENTS LIMITED,AMBUJACEM,AMBUJACEM
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE,APOLLOTYRE
ASHOK LEYLAND LIMITED,ASHOKLEY,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT
ASTRAL LIMITED,ASTRAL,ASTRAL
ATUL LIMITED,ATUL,ATUL
AU SMALL FINANCE BANK LIMITED,AUBANK,AUBANK
AUROBINDO PHARMA LIMITED,AUROPHARMA,AUROPHARMA
AXIS BANK LIMITED,AXISBANK,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO
BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE
BAJAJ FINSERV LIMITED,BAJAJFINSV,BAJAJFINSV
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND,BALKRISIND
BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN,BALRAMCHIN
BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK
BANK OF BARODA,BANKBARODA,BANKBARODA
BATA INDIA LIMITED,BATAINDIA,BATAINDIA
BERGER PAINTS (I) LIMITED,BERGEPAINT,BERGEPAINT
BHARAT ELECTRONICS LIMITED,BEL,BEL
BHARAT FORGE LIMITED,BHARATFORG,BHARATFORG
BHARAT HEAVY ELECTRICALS LIMITED,BHEL,BHEL
BHARAT PETROLEUM CORPORATION LIMITED,BPCL,BPCL
BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL
BIOCON LIMITED,BIOCON,BIOCON
BIRLASOFT LIMITED,BSOFT,BSOFT
BOSCH LIMITED,BOSCHLTD,BOSCHLTD
BRITANNIA INDUSTRIES LIMITED,BRITANNIA,BRITANNIA
CAN FIN HOMES LIMITED,CANFINHOME,CANFINHOME
CANARA BANK,CANBK,CANBK
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT,CHAMBLFERT
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN,CHOLAFIN
CIPLA LIMITED,CIPLA,CIPLA
CITY UNION BANK LIMITED,CUB,CUB
COAL INDIA LIMITED,COALINDIA,COALINDIA
COFORGE LIMITED,COFORGE,COFORGE
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL,COLPAL
CONTAINER CORPORATION OF INDIA LIMITED,CONCOR,CONCOR
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL,COROMANDEL
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON,CROMPTON
CUMMINS INDIA LIMITED,CUMMINSIND,CUMMINSIND
DABUR INDIA LIMITED,DABUR,DABUR
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT
DEEPAK NITRITE LIMITED,DEEPAKNTR,DEEPAKNTR
DELTA CORP LIMITED,DELTACORP,DELTACORP
DIVI'S LABORATORIES LIMITED,DIVISLAB,DIVISLAB
DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON,DIXON
DLF LIMITED,DLF,DLF
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB
DR. REDDY'S LABORATORIES LIMITED,DRREDDY,DRREDDY
EICHER MOTORS LIMITED,EICHERMOT,EICHERMOT
ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS
EXIDE INDUSTRIES LIMITED,EXIDEIND,EXIDEIND
